id	created_at	updated_at	strength_numerator	manufactured_medication_id	consumable_id
133	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	101	134
134	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	94	135
135	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	500	102	136
136	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	200	103	137
137	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	94	138
138	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	5	104	139
139	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	40	105	140
140	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	500	106	141
141	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	5	107	142
142	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	200	108	143
143	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	1	109	144
144	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	107	145
145	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	400	110	146
146	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	600	111	147
147	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	112	148
148	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	113	149
149	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	250	114	150
150	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	115	151
151	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	107	152
152	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	112	153
153	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	25	116	154
154	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	117	155
155	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	1	118	156
