condition_id	icd10_code	created_at	updated_at
c_8327	M04.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2967	H92.10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_17654	F90.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4347	K56.609	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_30573	J45.40	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2901	G47.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10656	L41.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2891	Q21.10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8347	K86.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_20610	T82.9XXA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_20610	T82.9XXD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_20610	T82.9XXS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_13435	P55.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10396	C49.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10406	C56.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2717	J81.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_1981	M19.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10690	B07.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10700	L75.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9366	J35.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_13006	O03.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10641	L92.8	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10516	P59.29	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8196	J38.7	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4868	G45.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8206	K11.5	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_26605	S96.919A	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_26605	S96.919D	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_26605	S96.919S	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2935	R35.89	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_5397	R40.20	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_6661	T76.92XA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_6661	T76.92XD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_6661	T76.92XS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_3954	E87.6	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_23103	I20.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9965	H42	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2446	R16.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_17204	F33.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2966	H30.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10500	I67.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_21816	C85.10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10240	L44.4	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8331	G12.21	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9947	L28.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8146	E72.02	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8527	T43.505A	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8527	T43.505D	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8527	T43.505S	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8527	G21.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10042	F07.81	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9916	M47.814	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2170	F79	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2169	F48.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9855	O13.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11095	J84.01	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11105	D75.89	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2917	C91.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_6703	D18.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10441	D16.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_6693	Z20.5	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8181	G93.7	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_18009	G56.10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11077	I70.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
