id	value	units
d9dcc7b6-774f-45f0-8345-65c40257d769	125	MG
023d401b-e785-49cd-8e77-b56fd1f357d9	31.25	MG
32a5168c-e91b-45fb-b3ce-60fec8c6814d	200	MG
aceb65ba-502f-4327-ad9c-e3d4fbcfd57f	400	MG
0e9ce5b7-f45e-4faa-9481-f9b0c10aa328	50	MG
ba471447-5eae-4c22-98bd-08ffd70e4c65	50	MG
86cf8450-2ab1-4020-bbee-dd0dd3a1340a	3	G
fdecd7f3-10e9-4a74-8329-ecb0458b2763	1	G
d23d2522-98f6-44b6-82ab-d4018b2524c8	250	MG
d012a524-3345-46b9-982f-70636435fb0d	10	MG
db02a573-d88f-41c8-85f1-c668927df4c9	5	MG
532b9788-9472-4224-aca7-143f4ed550e4	15	IU
ee368061-312f-4f54-9872-e86c092974de	15	IU
3c1b2c23-bbf4-457a-97cf-03e93440678f	150	MG
5126b3ae-cb38-4895-a165-cb40d0cc9031	50	MG
22caeb9f-3376-4de1-bf87-8efb304bcc68	10	MG
3c202acb-1fe6-414a-963f-8f6a49b5a9ee	5	MG
393a3ca7-1252-4be9-a217-7aea42a70e95	2	MG
50d2e1b0-ac5c-455e-b136-43d7583e7032	0.2	G
57e9be29-5560-4971-8202-d2785b51be0f	5	MG
0be766b0-e298-4d83-9342-10759b19c372	50	MG
0385b8ca-3ce2-41b3-9d6f-c881abf0692f	200	MG
ec03a101-acdb-4746-b29e-c515153f657e	400	MG
