id	exclude_id	category
a1adbe69-f3ee-4506-925f-363f27f99b15	f1c92d66-d853-438d-8228-33e5a7f10db4	F04
0664f405-f0d3-4ec7-b572-8141dba3640b	8333390c-c357-4051-ae9e-eff04685e6dc	F32
172cee16-0b9b-4659-8b3b-3ec06fea0832	8a37a171-803d-40e4-beda-1b5f6ecda95f	F30
74a9214c-7c18-4ade-b56e-0d74497e1855	8333390c-c357-4051-ae9e-eff04685e6dc	F33
2d173b4f-9eeb-456d-ab8f-03048506d252	8a37a171-803d-40e4-beda-1b5f6ecda95f	F31
5607cf25-dc99-465e-8a1c-2c967323abaa	4fb53593-2494-4ba1-ad8c-915ec6d5ab6e	F54
0f6a53c7-6caf-4d3b-95dc-9047dd19652f	93000b42-84cc-4c62-876e-7d185b60dca4	F22
0954eec5-cfd8-4efc-8e88-a90433503828	3c0b872b-d1ee-435d-9775-337ed5cb2f0a	F22
288fe54f-5bf1-4e46-a31e-14b9151fbd93	7881026c-dca9-4733-99f3-a2a91c342b32	R52
9816225c-7b58-459d-b4b3-4bb4603daacf	6172f79d-3a9b-4f5d-88fc-ef99fd19d4ae	F22
32e88a0c-1545-45c9-94f9-fb1d2e1c61e2	04bced50-37c3-4381-9f19-479cbce51f7a	F22
ba5dae7d-9493-442b-a564-57f3392418ce	c1c033f3-5578-4af8-a05a-994cc3ea0c25	F22
79876576-97c9-4701-979a-9f301d5b1d89	71f9d013-9cf9-472b-8840-f586cd0c882b	F22
52c0a9c1-e973-4cd7-9332-1781b4b77d0e	b0670055-dcf5-4407-b3cc-e60080af5bcb	F22
778b286b-afff-4353-a13e-6e6511e7f0af	a6c2732d-a6ee-4c86-ae12-e25ee3631d1b	F21
dcbacd55-437c-4a55-bd19-ae49912e6461	41b6af2d-a5cd-42e6-a37b-8dbf4a9d0768	F30
1a87fd57-bc09-4bbf-beec-f2606db1a2f9	41b6af2d-a5cd-42e6-a37b-8dbf4a9d0768	F31
35de8aa7-6fe0-4049-9348-9b34d6d32410	63c6c99c-5438-4cdb-8323-3db1a2d5fceb	F66
9ea4cd69-e351-4dc7-9942-6f2b27c15d2a	544ac9b4-0423-4fc7-88bc-3eb2b5b4e970	R32
cd12642b-e705-467e-b42e-95c0c5277d5f	56de76ab-69bf-4951-b689-8b29f218ad74	F09
dd635674-1b09-44a6-85f0-59f6db160f53	248975ab-f44c-46a9-83ab-0b8f7c883e4b	G05
f7ae79e8-951c-491e-8913-7d9890a60cb0	aa3c78dc-7553-4eed-a95d-93dc3b48a840	G05
c82401eb-5c70-4e87-982d-214ab683cbbd	47bd909a-ad08-4275-8038-2cd9fd0be9c4	G35
9819bae5-8626-4a49-b25c-d294f073adfe	fbf58cac-b8b9-47c7-88e5-5a21f63ff95d	B91
14e9c739-7295-4fce-9d24-3cadf1d8bf69	be6db925-c6f6-4e48-b215-b4e1debdbaaf	G10
d88d2cad-8288-490e-84f4-3dc4d9cb9f8c	5908e822-f5d5-4a3c-b8ce-0d9243af723d	G10
bef4708d-b6ae-4778-afb1-6fabd11a1f4e	9297cfa6-ceab-4482-9261-86c0ea47fd3e	F03
32c66cc3-8088-41db-867c-0122d053de20	c6f3850c-b5aa-4c02-8672-29d8d6c8c16c	F03
