id	created_at	updated_at	name	category	inactive_reason	address_id	location
0f9307f7-c4da-4115-9c0f-3964a689cb14	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	ZRP Beitbridge			c622b95a-8579-4b99-9720-bb505e49d151	0101000020E610000025DFFF1F54013E407FBC57AD4C3836C0
9d74fe7c-ac84-412a-b3cc-89a032cc2568	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Dulibadzimu			f91d8e89-f97c-4d04-b337-8599afe5973b	0101000020E61000002BEBFF1FD5FB3D405B7C0A80F13436C0
a8d9a0ae-3d86-42fb-840f-4b8dedfc6301	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Prison			e20d1d0a-944f-4f0b-bdae-9766cc8992a6	0101000020E6100000D43400403BFC3D4070253B36023936C0
e42fd0bc-0d1b-4ba3-850e-b401c33bf183	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Shabwe			bec0362a-52a6-402a-b2f6-909438f090a8	0101000020E6100000BC2A002008393E406DAD2F12DA1A36C0
a661085d-b049-4619-b0fb-30d8b77c553d	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Shashe			6bce9385-1784-490a-8023-f742beecf980	0101000020E6100000DEE3FF5F8B523D40B51A12F7581A36C0
7ed0f5c6-bacd-42f9-8912-dd00d87f7c40	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Tongwe			ca64fcc2-8eed-4abc-830b-328798de29d0	0101000020E6100000CBE2FFFF580A3E402BD9B11188EF35C0
3f6b31ef-06d0-4cd5-b5f4-d3eafc17ac4a	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Mtetengwe			78dc2bb8-c410-4d5f-8e27-578213dc574c	0101000020E610000076E09C11A5ED3D402D095053CBFE35C0
0158454a-4907-4584-a7b2-a0151e824d5e	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Makombe			ec0a6b78-b24b-4dbe-80fe-24f4c0b5f21f	0101000020E6100000CD3B4ED1918C3E407311DF8959E735C0
b3bd942d-84f3-461a-bf4b-fd28a18d598f	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Mazunga			123d1cda-9ae2-4138-9e0e-8c00005c57ca	0101000020E6100000BCB376DB85DE3D4079E9263108BC35C0
4dabcc01-6bcb-42f9-bea6-d624f1c760b1	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Swereki			f8f12fbd-c03b-4725-baf5-e3c29184fb5f	0101000020E61000009628006063673D40D7A3703D0ADF35C0
ca6a5355-f98d-440c-90d4-607e5f96d91b	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Bikita			3475f4a1-3db4-475f-88f7-9d1ed9ebea73	0101000020E610000091DCFF9F419B3F40D3D9C9E0281134C0
b8c4cc77-4e48-406b-868d-1e04e749e0c4	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Chikuku			ec55e318-9039-4f24-8987-3e72c8ad7a6f	0101000020E6100000D2EEFFFF59DE3F40E3A59BC4200034C0
ea95c79e-599a-4bc0-801b-d032479b774c	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Chirorwe			dfbac9c4-9311-4719-a5cd-f61166475ade	0101000020E61000001B30000004EB3F408ACDC7B5A1E233C0
28738289-9c04-4c52-811a-a9fdcb6561e2	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Chitasa			43e71704-fcd1-4530-9963-8a551617d3bc	0101000020E6100000111E0080C2DA3F4021020EA14A3534C0
416937b4-1a90-4570-87db-18d00c134445	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Devure 1			3270407b-ea8a-4dcf-81af-1b228dac48c2	0101000020E6100000730900806E0F4040A4E4D53906F433C0
073a91be-f064-4a39-948c-457a550204cc	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Marozva			3c63745f-71a2-44c0-882d-a7dcc30f32f3	0101000020E610000008CCFF3F60853F40B9AAECBB220034C0
8471e590-f2df-4072-94dc-e904c76f0eb5	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Hozvi			3b0c4f2b-a25a-41f1-96d5-242bd5aa17b5	0101000020E61000004A01004089893F40938C9C853D0D34C0
e7050b76-d567-46ad-8e41-8a4415322b03	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Mashoko			6ab108a0-e91f-4748-8081-7082967cfa5c	0101000020E61000002E11000026C03F402844C021548134C0
c31b7919-97b0-4634-8331-31e1e6b59283	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Mkanga			989927d8-7ad4-4549-9550-49ddbf4a94df	0101000020E61000006AD7FF9F9CB83F40F25EB532E16F34C0
1e3816ca-1649-455f-ad3b-1dec39c069e2	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Murwira			14bc5295-aec1-4887-a918-c6b97a4c93a1	0101000020E6100000760F00002FA73F4062BEBC00FBF033C0
bc3a1b62-348b-4179-b32b-afaff27be223	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Ngorima			9708e27b-b0ca-42bf-a315-93e3941afc06	0101000020E6100000760F00002FAF3F40FDC1C073EF4934C0
7c7a9f7a-a2ec-47ea-bc28-b8e3b981869f	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Nyika			6d8ffeaa-0f91-408f-823b-b8007ee1fbbe	0101000020E6100000FDF9FF7FBF963F40C45A7C0A800134C0
8ed70a2d-205e-4aa4-80df-23cef57fb535	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Odzi			b1e150fb-8524-4b5f-b049-8d3c270d0c23	0101000020E6100000B61E002087DB3F400820B589936B34C0
e1f07bab-196f-4f96-883d-4ddb8ae5dd00	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Pfupajena			d35aacc3-703c-405f-bdc7-4616321876ae	0101000020E6100000ADCCFFDF249E3F40F1BA7EC16E3034C0
