id	exclude_id	code_range_start	code_range_end	code_range_start_dash	code_range_end_dash
98163a28-a05a-46f8-86af-4431ab0d7c4a	848821d6-93c2-4483-bd01-c27d624fe345	I63.0	I63.2	f	f
1155f66d-d4e8-4406-9183-ff4a74e652e3	c25cc55d-f157-4ad9-8244-378b81807853	I63.0	I63.2	f	f
ae18fa8f-3529-45d0-b988-753f070dc219	dc2342fc-4a00-4262-9a93-8e2bfc9ff10b	M30	M36	f	f
54c4238b-2ab2-448f-bbbf-16b7766f4c43	a1339b3f-bfe7-4c6b-b397-317c96d43482	I21	I25	f	f
4347c31c-86f4-41b5-b3bb-b372ea2d4efe	c7d30b80-d84c-4069-91a3-152bd43baa40	J30.1	J30.9	f	f
fcec7b6d-0fbf-46a1-8e53-f79fe2fb668a	8d9df10e-cad5-4ebb-9eab-003005dedd70	J32.0	J32.8	f	f
9041de3b-f465-4668-b5d2-7da6b85034cf	d565cade-6770-42e3-88d2-01981928b1df	J15.3	J15.4	f	f
51107187-8a63-4052-b9aa-0fc50a91ec91	cd1f79f9-8c27-40d1-bbfe-a465960c749e	B39.0	B39.2	f	f
bf8d7177-70cb-4837-8d37-9ba83c6ed65c	49cd3c98-f183-42f1-9e30-b6e857e6ddad	B44.0	B44.1	f	f
9afe3472-efd6-48bd-a76f-711483e6b81a	3b04e33e-9925-4986-9ae7-5ab89e815ef4	B38.0	B38.2	f	f
d4381b71-1e17-4734-9dfe-daba7de64090	8ff575bf-1837-4760-b458-75db0dcf9d91	J70.2	J70.4	f	f
6baa178a-3c1c-4860-8366-7b6ac5d5010e	2e43c542-02cb-4012-a9d8-032086ace8fe	J67	J70	f	f
2e6f4d7a-2c1c-46b3-b1eb-287dfab1717c	36aa86c6-abcc-4fe2-aa69-aa627bd7c535	J30.1	J30.9	f	f
90a1ac1d-40fa-4397-be27-eb282a5af636	f116106b-a9e2-4e67-a401-5f21e28b3996	J60	J67.9	f	f
9adfd9cc-e63c-4611-8a81-9f59a1658b0e	eb566cb7-da84-41d4-b66d-b468f2538c00	J60	J70	f	f
810d583a-d4fc-4689-a542-5a79dbb8a72f	43bb1cde-19e4-48d1-9f86-1d35e9068dd6	J60	J70	f	f
659d2c8b-5db5-4bb5-8815-0697699c830d	6506c113-f144-4a2e-b1d8-5e779304b93c	J60	J70	f	f
98954ed6-5b33-4e5d-80d8-91627a789760	ed5cf667-71f3-4b8c-ac83-e0d7c704908b	J60	J70	f	f
1aedbdf1-b5ae-4457-a39a-a460c42f8236	0bb0d6bd-f268-4822-beb1-b7b1cf3e6772	J70.2	J70.4	f	f
6c2db861-f142-4dd8-b015-a2c326b95794	864f215b-5183-4b6c-aea4-5b53789f5b3d	B50	B83	f	f
d11124b8-67ad-4ff2-935a-022dc2b9b000	b459d0c9-51e8-4097-9fbc-6111bf367534	M30	M36	f	f
23447a2b-a2d4-4719-9792-15a199e6f8c2	04329bba-4a31-40fe-8f55-bed38117c15b	J70.2	J70.4	f	f
ed834b7d-773c-44a0-be5b-284315ddb9de	edaa095d-2a58-4333-b930-844bb456bea0	J60	J70	f	f
