id	created_at	updated_at	formatted	street_number	route	unit	street	locality	postal_code	administrative_area_level_1	administrative_area_level_2	country
df6fdf61-f4ba-4fa4-8b35-fc19f025328d	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Binga, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Binga	Zimbabwe
ede24784-72d0-469a-a31d-783e58db929a	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Binga, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Binga	Zimbabwe
e369a85e-ae50-480a-a953-7a515d93fc78	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Binga, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Binga	Zimbabwe
d98d94e7-607f-42a3-ae92-eb07d2277d1a	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Binga, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Binga	Zimbabwe
8e4d4408-bf43-452f-9b42-f1ccb89ea3c2	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Binga, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Binga	Zimbabwe
d5cc1480-1903-4901-8029-9947482998c5	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Binga, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Binga	Zimbabwe
90f5916d-6531-477e-b06b-b648477d62fa	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Binga, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Binga	Zimbabwe
ba92d687-15b5-4ba5-a114-7517c4813d78	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Binga, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Binga	Zimbabwe
32ea6de2-38ac-41e5-ba33-baf293158871	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Binga, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Binga	Zimbabwe
837f4770-048d-4a65-b234-5c5e27cad878	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Inyati, Bubi, Matabeleland North Province, Zimbabwe					Inyati		Matabeleland North Province	Bubi	Zimbabwe
d41abe09-612d-4ada-a748-67c23e2eaa40	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Eastnor, Bubi, Matabeleland North Province, Zimbabwe					Eastnor		Matabeleland North Province	Bubi	Zimbabwe
61dba8b9-2cd9-4b11-aa1b-f488c489253f	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Queens Mine, Bubi, Matabeleland North Province, Zimbabwe					Queens Mine		Matabeleland North Province	Bubi	Zimbabwe
175fd000-991d-44e9-9e3d-06ede5c76809	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bubi, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Bubi	Zimbabwe
