id	age_determination	pregnancy	warning_sign	priority
7033004	adult	f	Seizure	Emergency
7689009	adult	t	Seizure	Emergency
7454002	adult	f	Seizure	Emergency
9112001	adult	t	Seizure	Emergency
13973009	adult	t	Seizure	Emergency
14521008	adult	t	Seizure	Emergency
7689009	adult	f	Seizure	Emergency
15523002	adult	t	Seizure	Emergency
15938005	adult	t	Seizure	Emergency
16873003	adult	t	Seizure	Emergency
19334007	adult	t	Seizure	Emergency
19598007	adult	t	Seizure	Emergency
23374007	adult	t	Seizure	Emergency
29753000	adult	t	Seizure	Emergency
9112001	adult	f	Seizure	Emergency
33941008	adult	t	Seizure	Emergency
13973009	adult	f	Seizure	Emergency
34601006	adult	t	Seizure	Emergency
36803009	adult	t	Seizure	Emergency
38281008	adult	t	Seizure	Emergency
39194005	adult	t	Seizure	Emergency
41497008	adult	t	Seizure	Emergency
41510006	adult	t	Seizure	Emergency
14521008	adult	f	Seizure	Emergency
44145005	adult	t	Seizure	Emergency
49255002	adult	t	Seizure	Emergency
15523002	adult	f	Seizure	Emergency
50866000	adult	t	Seizure	Emergency
15938005	adult	f	Seizure	Emergency
52125007	adult	t	Seizure	Emergency
53482009	adult	t	Seizure	Emergency
58895005	adult	t	Seizure	Emergency
60317006	adult	t	Seizure	Emergency
61927004	adult	t	Seizure	Emergency
16873003	adult	f	Seizure	Emergency
19334007	adult	f	Seizure	Emergency
66264000	adult	t	Seizure	Emergency
68761002	adult	t	Seizure	Emergency
69909000	adult	t	Seizure	Emergency
71587006	adult	t	Seizure	Emergency
73706008	adult	t	Seizure	Emergency
75023009	adult	t	Seizure	Emergency
79631006	adult	t	Seizure	Emergency
79745005	adult	t	Seizure	Emergency
80651009	adult	t	Seizure	Emergency
82401000	adult	t	Seizure	Emergency
84757009	adult	t	Seizure	Emergency
87095001	adult	t	Seizure	Emergency
87476004	adult	t	Seizure	Emergency
89525009	adult	t	Seizure	Emergency
91175000	adult	t	Seizure	Emergency
95208000	adult	t	Seizure	Emergency
109478007	adult	t	Seizure	Emergency
128612007	adult	t	Seizure	Emergency
128613002	adult	t	Seizure	Emergency
191714002	adult	t	Seizure	Emergency
