id	created_at	updated_at	strength_numerator	manufactured_medication_id	consumable_id
aba454b8-00e1-44df-93a8-101c977fd8e1	2024-05-01 17:00:03.750767-04	2024-05-01 17:00:03.750767-04	1.12	3150f2a0-46f1-40e4-b1d5-dfa4764ee214	4761fc2d-0ac6-4cfc-890f-228de99694ef
a9fae43d-3f78-40a2-807e-f1f4d0953820	2024-05-01 17:00:03.7509-04	2024-05-01 17:00:03.7509-04	0.5	80f69080-2c9d-472a-93e6-9800b6e7458c	fd1a1b03-17c0-4139-ba05-fe9be692cd74
d910a861-3a40-4bca-a6d8-798d61b2f028	2024-05-01 17:00:03.751186-04	2024-05-01 17:00:03.751186-04	10	c00c5c44-93fa-4708-94bb-3cbad0001c7d	e38b62c2-3f2e-49bc-bcb5-f19a8f3baef6
9097fe0c-5c22-40dd-932f-3b5e99aa2cef	2024-05-01 17:00:03.75138-04	2024-05-01 17:00:03.75138-04	10	3770ad66-9619-4f3c-ac21-f87eaa692ae9	0f5b63d4-68e7-46bf-8e41-b1b264111697
4e048392-528b-45f9-b89b-23ea87bb16ee	2024-05-01 17:00:03.751494-04	2024-05-01 17:00:03.751494-04	2.5	deb5909e-6747-4edd-8646-e6382df37ef0	f2bb728a-691e-4c70-8837-11ee8d368908
cf0cb154-f95b-4bdb-bb8e-59989a27bbbb	2024-05-01 17:00:03.751592-04	2024-05-01 17:00:03.751592-04	300	db160ac4-c01b-49b7-8c98-53fecc39c871	4aff3457-9353-4705-a4e2-ad88d7f7c074
91d476cf-4ba9-4458-9906-39ef92101f53	2024-05-01 17:00:03.751705-04	2024-05-01 17:00:03.751705-04	10	af357767-8830-4e87-b76d-c1c015ff0fbb	837d4407-cf68-4d04-aa9f-ed5611679dc1
5c1723ab-996a-42e7-96d5-d66d1f46d713	2024-05-01 17:00:03.752732-04	2024-05-01 17:00:03.752732-04	2.24	3150f2a0-46f1-40e4-b1d5-dfa4764ee214	b1098430-4405-460f-8da1-3c3a3c765b47
6ac849da-74d0-4a77-840c-0a0689a9f038	2024-05-01 17:00:03.753017-04	2024-05-01 17:00:03.753017-04	10	d95e2741-ac96-4208-ae6d-843804333a2e	442cc5e8-3542-416f-ac46-becc816f4b35
523fbe7d-ab49-457a-8833-5a96e38518b1	2024-05-01 17:00:03.753184-04	2024-05-01 17:00:03.753184-04	12.5	c00c5c44-93fa-4708-94bb-3cbad0001c7d	f220dd4a-bc22-45f4-8ef8-2607e1432ab4
928be1a1-0d68-42b9-b449-16b97044a53f	2024-05-01 17:00:03.753275-04	2024-05-01 17:00:03.753275-04	200	b0bad19a-555b-4e4d-b1dc-1ca6a794f6ad	ed3e1ee0-2274-47d0-8451-674746151f22
f013b0e8-f45f-4e59-b271-b99410544340	2024-05-01 17:00:03.754349-04	2024-05-01 17:00:03.754349-04	0.5	380624ff-b428-4ebc-8972-8feee8c96ad3	33e46b57-57e1-4be6-8ccd-5c6b6d7460af
dac200b6-1331-4804-94d8-bafa59a33ce7	2024-05-01 17:00:03.754543-04	2024-05-01 17:00:03.754543-04	2.5	7de5b7ae-536a-4ac7-a2a9-d892933e5d55	baeec3eb-0891-4e55-8d9e-01c513c94f23
c358a10f-3830-4de9-b8de-7109726e426c	2024-05-01 17:00:03.754623-04	2024-05-01 17:00:03.754623-04	10	3150f2a0-46f1-40e4-b1d5-dfa4764ee214	d5c633cd-df6c-446d-bd6e-c9a155716c66
71e52c7a-7fda-474f-8b1a-ea594e39a9d3	2024-05-01 17:00:03.754708-04	2024-05-01 17:00:03.754708-04	1	80c1d780-19e8-4146-9471-191f76443466	b16d75aa-80cd-46de-9869-5b492dd196bb
94aad091-dbb9-454c-9fd1-5d7d1220ae00	2024-05-01 17:00:03.754891-04	2024-05-01 17:00:03.754891-04	200	08ebb265-cbfa-43c7-8830-2f3a3fa5b2e4	39257c5d-da6e-4342-98cc-a37586f9269b
62752652-a43c-43cb-9f79-a21c7655f09d	2024-05-01 17:00:03.755684-04	2024-05-01 17:00:03.755684-04	15	c1c3aaee-1030-4cc9-b568-71824fdf8eb2	bd15a6bc-430b-43e1-8d84-72f2203d535f
6396d322-3ec5-4e09-821b-a1cc593bc77a	2024-05-01 17:00:03.755948-04	2024-05-01 17:00:03.755948-04	200	d6ac28da-5338-467f-bcf9-3b16aa9de264	3013dcb1-c161-4e18-9b3c-64b922f5b5ab
9bdac22d-41c9-4074-b61c-d7066587a47a	2024-05-01 17:00:03.756041-04	2024-05-01 17:00:03.756041-04	40	d0fee5f5-b0d3-4fed-8a8f-0eca385a0079	a9d0965b-589f-4f02-a5c5-9ca85cb3f79a
13111f3e-b6b7-42f2-bb08-1107083424f9	2024-05-01 17:00:03.756264-04	2024-05-01 17:00:03.756264-04	40	077a059c-8231-4bd8-8b3a-c7b7b75abf15	be046cef-47b2-4a1e-8aa1-b3083a541384
3806f4a2-4d4b-4337-b6e0-7cc0c4a0ce66	2024-05-01 17:00:03.756426-04	2024-05-01 17:00:03.756426-04	102	3150f2a0-46f1-40e4-b1d5-dfa4764ee214	ed514867-f19e-4f01-8129-d83651b6ba16
