id	units_snomed_concept_id	value	value_low	value_high
1368c159-41ea-4809-9eb8-7c2ef8429c48	258773002	15		
0148ba52-654f-4437-9ddf-df5c6fd2ac0c	258773002	15		
36989953-1325-407a-935f-ec025dc53130	258684004	0.1		
2c3d5b04-a8bb-48fc-8e23-dd9de4356b8c	258684004	0.1		
bd6e1f64-ced5-4674-b625-e8ca7bd0fc54	258773002		60	80
671a89e0-8d3a-4157-84ab-03304e3caad8	258773002	10		
e309e850-f5c1-4cfd-a0e3-b5eb7ad19a1c	258773002		4	6
787d0c6f-f88d-42b2-8bc4-c774f3f4565a	258684004	2.5		
26199c6e-c4fc-479b-bfb1-b05d35b86b10	258684004	2.5		
6e6e25b7-327b-4e06-9a07-1c6e574cef39	258684004		1	3
a2aba5a2-0d23-4824-beb4-6aff5f1429f2	258684004		1	3
d20256f0-66ef-4acf-a523-158b3407def9	258684004	1		
b66c698d-10fd-4005-951c-e3af090b5009	258684004		5	10
269a8fcb-fe6e-4fa6-b853-59ea343a9d11	258684004		5	10
d70e22fa-ae05-4e08-9dc2-abec43e6bf0b	258684004	2		
d5af2bd1-c4eb-4cdf-8b19-a210ebd2b5c3	258684004	2		
878f64ae-140d-4400-b830-aca435d430b6	258682000		1.75	3.5
6ffb83a5-fa97-4679-9338-2a68a5bf9213	258682000	1		
5e4bcd96-89dc-4f1a-a22c-a2b868222c5e	258773002		0.5	1
dc3230dc-ce7f-47c5-906c-118dfc276819	258773002	0.32		
2efee466-f047-4f32-a38c-03159e99fd1a	258684004	100		
405310e8-b680-4d72-b23c-39580242438a	258684004	100		
b09d9f6c-0e38-4d77-9244-2d367ffc99b1	258684004	100		
4d7444ce-3997-4d16-ab3b-9fa10bf951b1	258684004	100		
37df09f7-a934-4b82-99b9-fff0977b5003	258684004	500		
15a1ddab-93c8-48a6-b302-f53e1e5db32e	258684004	500		
ad1b7f74-32af-459a-ac9f-73742566d083	258684004	500		
53a3b253-2804-46b9-ac18-0093aae96a03	258684004	500		
0e36fc0a-9a60-4d05-9589-9e56b3c4a152	258684004	45		
6202c2a0-f932-4e43-99d9-5c940461c370	258684004	45		
9ef182b3-c058-448d-86ec-e746253bae47	258773002	5		
dcdea0cf-5ac7-49b1-8258-0f8af15ecfee	258773002	5		
a65eb276-8355-4939-a582-d859742f306c	258685003		1	2
0ca01c00-1f11-4490-9e1c-c6ae1bd01a2e	258685003		1	5
e8848241-1395-4de7-9d78-912e286c4dc2	258684004		0.7	1.4
1aedab80-2e9a-4ebe-bf5f-274493e8d761	258684004		0.7	1.4
026ee2ce-238e-4fad-a481-34f2cb6e2153	258684004		0.7	1.4
a20cfd18-6a1e-4c49-baf9-da6d116a25f2	258684004		0.7	1.4
c864f979-205b-44a7-8fe3-02cfacc25e9f	258773002	80		
228e865f-9eb7-4e39-9901-1e7304b47c78	258773002	20		
906832cc-14be-42fa-96a4-2bb0f81e4a99	258684004	15		
0b1c4227-ac36-4fe5-905e-f45f5dde4205	258684004	15		
ba983f18-d82d-4b36-b42b-81e2da8255ad	258684004	15		
a97fafe3-d5d0-4cfa-9ee9-769596aeddb6	258684004	15		
fac66799-e208-4cc9-aae9-6f2886c2ab3d	258684004	15		
da5b1e4e-1a20-4c64-a7ca-4ed0c04f4994	258684004	15		
72d8b66d-ef6f-425c-89c2-3572dfe0e5fe	258684004	20		
d989bfad-7276-4469-ab16-5e2d2999097c	258684004		20	30
7724f7cd-c70c-43c0-a92c-ae1455a60ba0	258684004		20	30
a5b8bf15-7393-4ed7-96d3-8998674dd548	258684004		25	50
9bf2738c-fa31-4ecb-bea3-1cbe9ec5fcc4	258684004	125		
a6ad939f-0a6b-491b-bb84-e556f1409366	258684004	125		
56502f33-fa5b-431d-9025-f049ed4a19a6	258684004		25	50
268d55c9-33a3-42e2-906d-462058f21c4e	258684004		1	3
09a47cb7-7ffc-406c-883e-47d08304f4b6	258773002	2.5		
4de41211-cdfe-40ec-bb62-33c72496776c	258773002	5		
05f42494-1d09-4691-87c6-8d4dae276e7c	258773002	20		
3ebe04d5-3af2-45aa-9c7f-5702d1a73b65	258773002	20		
0a3880ac-49b6-422a-8c63-2c8cee63ef6b	258997004	5000		
ac542553-a3fc-477a-9f6e-8f97b504b419	258997004	5000		
d8ac1fc2-8204-4b30-866d-7b6498fb0150	258997004	800		
78c7dc92-0dd2-442d-8cd3-314cae56f523	258997004	800		
8fb5b63d-8819-459c-b591-7cc5eb46ba4c	258684004		2.5	10
ff65dedf-95ac-4507-b2d3-eeff32c6b4a8	258684004		2	5
853e4ec9-6606-4331-abe7-a033d6134218	258684004	10		
c867c173-8a59-46e1-b29e-59b43b07376c	258684004	10		
923323c1-0768-4443-a4fb-1a221a26c968	258684004	10		
8e464445-711e-4489-a2c6-0a08f4f7cdeb	258684004	10		
7b60e670-ed8c-41e0-aa9b-9062702a4b61	258684004	10		
e946ac1f-5398-4e1d-8012-eaf2b5e7bd6c	258684004	10		
094d2bc2-eda4-4f4d-aab6-15fe7053998d	258684004	200		
510d2940-c346-4854-90e3-6738b46c15fc	258684004	200		
050ff773-4145-468e-92a1-fbafbd96aff6	258684004	200		
3df94bf0-b5eb-4c30-9143-3c9080c88d80	258684004	200		
9e077c1e-64c6-411c-9efa-b379b98d03d0	258684004	200		
6b1b3e29-ee71-4f77-aa89-0130aa8c5a33	258684004	200		
f72924fb-2b1e-47b5-9b14-2670dc8407db	258684004	10		
8e03c1c3-40c0-4284-ae22-ed993f4d19df	258773002	0.5		
716364b5-d7e4-4b97-b805-22667a28a678	258773002		10	20
4f982c41-28b8-4377-840b-764a02045282	258773002	0.5		
18c8b02c-7c23-44ad-b196-aab85ba91e04	258773002		10	20
669326a1-2389-4442-bcb3-e17e6afc37af	258684004	100		
a647b67c-c1e8-49b9-a1b9-97d458dbcb87	258684004	100		
c47778b2-d935-435b-ac0a-a5ccddf03f86	258684004	100		
7ca19f52-75e0-4b93-9f9c-fadbcc951562	258684004	100		
6aff0bf2-1945-4349-869d-54f269879dfe	258684004	10		
08197216-2e8d-4c81-b8c1-0ea0135e4394	258684004	10		
97920025-133c-4550-9462-9170d51ea1e6	258682000	2		
51af4edb-bfa3-4829-b008-cb582d73431c	258684004		5	10
18c226be-0ad4-443e-a64b-77b0ffee7e65	258684004		3	5
d7646cf0-cb4d-4bcd-a71b-16f064c8f9c5	258773002	80		
3fa07c85-91f0-41c1-832d-24d79db5b01b	258684004	40		
0a8d1a1d-c7b6-4eff-974d-5f55b49a3b82	258684004	13.5		
b7793e3c-afa9-44aa-99a2-290501f07813	258684004	10		
88934d98-024b-41bc-b1de-2b4ef756c63a	258684004	10		
93ad2343-1ddb-4af1-bfaf-0fe321be240c	258684004	10		
bbb4bf9c-8df3-4c76-87b9-d041e960de6e	258684004	50		
b2718a1d-a7cd-4202-864c-8c5e9fb2dc0d	258684004		25	50
bf9080d8-88a2-48e5-81b3-ad37b16e41f0	258684004	50		
ebbf333e-98b0-4cab-9650-7b051258b8cd	258684004	50		
787d68ca-3e1f-495b-9b70-bc5c8c94321b	258684004	10		
e24fd5b2-a5c7-4211-b120-40f46a0a88ce	258684004	10		
f874c442-1562-44f9-a65d-98296a2fe196	258684004	20		
ef80e1e8-5554-4c86-8995-918ca5030c6c	258684004	20		
57bb931b-ea44-4383-b01f-897f797161f9	258682000	2		
7fd38a8c-4015-41d4-b50c-ad23f702a7dd	258684004	50		
5480e5f9-3464-4c17-ba66-12d6540d00d8	258682000	1		
fc75bd3f-e7d4-4e54-a181-dffbb174ba7e	258684004	100		
e2c874dc-4c42-4f8c-a94b-45a666030f19	258684004	100		
48f665f6-cc14-474c-9bac-344d838e4e21	258684004	100		
cb7b67bb-856c-453b-a749-a22f75ada155	258684004	100		
3f34715b-c81d-4090-9b83-3f3f71d5f15f	258684004	100		
dcf9ca76-411b-4963-bd38-39d6f4097495	258684004	100		
603dcd8f-7dcd-48f7-ad5c-bfee027746d5	258684004	15		
4a1d0be3-13b9-4094-b715-a6bd76841cbd	258684004	15		
0a51028c-edac-4efd-ad60-238a90776e4e	258773002	15		
d2951db2-4e1a-44cb-a247-cc2c431e81ed	258773002	15		
46b54656-961f-4b5e-8abe-2799118b0cdd	258684004	20		
0d258852-ef5a-4ccd-81f1-5e11375d9a48	258684004	20		
15f35584-6ffe-45b4-b2e6-c1baf8d9f791	258684004	500		
e084808e-d5a3-40fc-85c0-9a8ab453087d	258684004	15		
603f2215-85cd-43cd-9789-dbe02cf9d76d	258684004	20		
c173edc0-9655-4600-8ef2-511e2959fb2e	258684004	20		
43912b23-b659-41d6-ac0a-b11686bd89a3	258682000	1		
10c30796-4ca0-4f6b-9230-3c9e0168e174	258684004	6		
5b388e6e-9e8c-416f-bafd-39c7dce506fc	258684004	12.5		
3a556123-c2fd-4ff5-8aaa-e16570a0f3fb	258684004	6		
14b6f951-6a15-435e-b6e1-e85c973b43a6	258684004	6		
ff6d46b9-65a7-40a6-8c93-f2d8a90d5e25	258684004	6		
1ac6332f-1994-4098-854d-6b1a0f33ef6e	258684004	6		
7866dbe4-8f38-4f62-94b9-3284dffcdd06	258684004	1000		
9bfe9ce3-2b14-420e-8863-f966b3bf8d7d	258684004	1000		
7d4ba7d3-28da-4e36-adf3-b962e4962ece	258682000	1		
c2ef0a05-89ce-4068-9483-a8516f7993fe	258684004	7.5		
6c66a30a-ac7b-47a0-9e94-fd77c82d81a1	258684004	7.5		
437f57a9-2030-444f-84ad-d98a582d9c02	258684004	15		
9726dac7-bf41-4529-baf4-3767857bd8e0	258684004	15		
51200bbf-3f65-4b26-b71c-25928843c960	258684004	7.5		
2b6fdd38-5957-4a88-b3c4-74ff33988b48	258684004	7.5		
8b5bc232-83d2-4a3e-9858-2ab9521bc22d	258684004	15		
3007cb42-b792-4724-b3fd-eb4f5abcf8cf	258684004	15		
92207818-4270-4fd7-ac26-c8b485fb153c	258682000	4.5		
edd6f611-dafc-4b47-8aae-db062dc0bdbe	258684004	5		
ab96313f-5e04-4c7c-958c-c22fb1c73aaa	258684004	5		
647c9df2-ebb0-4bff-890e-82ef676c2b81	258684004	5		
f28a778b-dd68-4f65-9e99-74c158c6d9b6	258684004	5		
52bc7341-f321-405f-83fd-54d7ebf6494e	258684004	5		
3a2e4329-dc7c-4dc2-b9e8-3a97f647a7d2	258684004	50		
6cafaaf7-fc87-4b00-9d7d-b84d7c665726	258684004	5		
d25fd5e3-16bd-451a-ba35-ef3263328454	258684004	7.5		
ec003bbb-4cb3-44bf-a203-d696a86687d0	258684004	7.5		
584cc796-6a41-4b70-a3c5-00153a5e0617	258684004	10		
dd497d52-e511-4590-b68c-5ea84904ce69	258684004	10		
771a47cc-5206-4ff3-9ac7-8f00207dfedc	258684004	100		
2aecb53e-af2e-4c71-98f7-b22de45d8a07	258684004		25	30
c0f71225-d4ce-475d-9ceb-84a5a58678b8	258684004	1000		
71e760fa-288f-4e6e-846c-ce7a0d009dd7	258684004	250		
1b189023-2326-406f-91d1-997cbb5efdbc	258682000	2		
0ede49ef-cfc0-46b3-b8d0-117f73a728bd	258684004	45		
3ef6a096-4388-413c-8770-33b4a4bd43cd	258684004	6		
3bd9d94c-bc35-4011-ad8a-0c60915724ba	258773002	5		
669ee140-cb88-4735-a7c9-9acae108123d	258684004		15	50
c99d8fc9-f051-4d22-a167-6c9c95164e4d	258684004	200		
5762e4e7-458c-4c81-bb06-5594d22036db	258684004	200		
2351526c-e915-49c9-a99c-58cb31dbd130	258684004	200		
66749763-a5be-42ad-896e-95721532550b	258684004	200		
fdf1795b-8ef8-42c1-89b8-e6de591dd7ee	258684004	200		
f7e95aed-c526-4359-9855-4e5ff749a533	258684004	200		
fd3dc4e5-57bf-4691-86f1-7bd8bb97f684	258684004	200		
3a278749-7f6d-4c61-9812-ffff2b524b4a	258684004	200		
4d146808-1321-45a7-ac6a-a25ec7cec97d	258684004	200		
9c9636f0-56dd-4fd7-954b-e239d257c807	258684004	5		
bc5bdd17-55df-4865-85df-a8601acfebf0	258684004	5		
a9451652-d40b-412a-a039-ec67828a1b44	258684004	5		
992a9e29-3180-482a-a2c4-9b63edb45c5d	258684004	150		
9f14b6d4-7250-4919-9057-8ba165d97f1f	258684004	150		
f64eb176-5b89-4771-83f3-2057fc9d5b63	258684004	150		
161648d7-514b-4bb7-b92e-a920c2814d76	258684004	150		
b436cc52-45ce-4a79-a379-dbb555138f2c	258684004	50		
cc3052a6-1943-4891-8d28-a69877616997	258684004	50		
a90a4658-8700-4353-b4c7-bb2e22dbb13d	258684004	50		
64529a65-d788-49cb-9b5b-74da99366214	258684004		50	100
599e8773-7af5-48c8-9a10-52297a80ed52	258684004		50	100
84f9f7dd-8334-4386-ae3c-4f2b6263598c	258684004		50	100
d4efd643-c651-4bac-86a8-d00a17df6190	258684004		50	100
e44efa7c-be4b-41b8-9505-3016eb679532	258684004	10		
18d39b39-221e-4e43-9d14-c6ac102b0623	258684004	10		
28e2c519-822b-47f7-8542-2f86fff201d7	258684004	10		
c4cfd3ef-a88d-4821-b575-fcd60774df21	258684004	10		
561a340d-5253-4764-a603-0ad78d6bd6b2	258684004	10		
1462bb0d-95d2-4f1c-8406-88baa718295b	258684004	10		
29e18f75-fd43-44ca-97d3-d39216c67d50	258684004		0.6	1.2
f8b00c0e-d162-4501-ba91-8474cf925a74	258684004		3.125	25
b41a6caa-9a88-48e3-8e8a-72735a4df4e1	258684004	75		
9d4b0e64-e334-4f01-ac86-9f813c93c561	258684004	300		
e4098cb2-be12-419b-9797-65b752a1661b	258684004	0.125		
3c15d92c-bec6-40c5-8982-03e5f46ca1eb	258684004	0.125		
93f98d16-221f-417e-b792-a4bd2db2425e	258684004	0.125		
f0bb033b-d90b-460a-8568-e213e5b8e94d	258684004		2.5	10
88bd4b50-22c3-4209-88c4-3179f54cfec8	258684004	10		
f04961b7-1365-4a1a-9445-c818fe006eb0	258684004	10		
430032a1-e80f-4a1b-a993-dc35277a838e	258684004	10		
52ea1efb-3daa-4f75-96a6-2b9abda1da32	258684004		2.5	20
c6d80641-cdef-4229-b749-ba4b18ac9b1c	258684004	1		
40210fc7-578e-4124-b4c9-288edd5dc735	258684004	30		
7859ef67-4ce0-465c-8af8-fb5d093d02f5	258684004	40		
302dbfc2-b492-4027-9429-2146938d6a84	258684004		40	80
e0c04bc1-e780-4c9e-9be0-4120f3650e3e	258685003		5	10
e5bb8f6c-b2a1-4b2c-823e-710afd53be3c	258684004		25	50
430c22a7-ea98-475b-bb47-e1eac56426a1	258684004	12.5		
02f608b0-491a-4186-a171-1971662a0541	258684004	400		
87a30302-db80-4e20-af98-e521d827b8d7	258773002	0.5		
d2652ff2-8912-4240-b4f6-5a38bd8cef74	258684004		20	30
7cd475b0-e949-48b7-a8ca-5eaeb17a6633	258684004	5		
30fac70c-f5f0-4803-8267-a2bd0c94fe20	258684004	5		
3b7f3515-214d-4f9f-ae14-625f9522a81d	258684004	5		
638a5d1d-4f3a-405b-9dbc-d587ecb71e71	258684004		10	20
371a5b8e-76eb-4c35-80ae-0191919f5022	258684004		1	2
2d513e5b-1ac3-43a2-b3c2-e7f6939f7629	258684004		50	100
73ab0bf8-17d2-4d95-9c7f-974d83acec94	258684004		50	100
c5b06f9c-88d7-4243-9eb1-54dddd3a2c42	258684004	50		
79c5c41e-e904-4639-b18b-cc983cbb407a	258684004		50	100
e88e1c9c-4d3d-400a-a97f-bb47a220f8e4	258684004		50	100
4fe2e6ef-c6be-4172-99b7-d65af319a0e5	258684004		50	200
