id	medication_id	value	units	description
cc8d092b-d2c5-46fc-8a61-cd4b742f30b0	dae4fa73-d0e3-49df-8127-b15b3e413f6a	100	ML	SOLUTION
07631c88-0fdb-49d6-ae3e-4a6ab693af96	8a2d04c6-afa8-4989-b50e-f6f019f37124	100	G	SOLUTION
7f39bcc5-9ed0-4cef-9af4-a2735e7620ae	6cd86f47-8dc2-4756-9556-71ee7504cc2b	1	TABLET	TABLET
9394718f-cedc-4567-aba0-059cd6dfef6b	d74c5b66-ab42-4d4f-bf29-12ec107a0fc1	1	TABLET	TABLET, COATED
c5200b21-c05a-4d33-b4e8-8764022c7e32	e9751cb6-7424-4f73-a3a4-74692c8b270f	1	CAPSULE	CAPSULE
449242b7-7630-4559-a572-2731a1ba99a0	592928ab-fb22-4691-968a-e8d4dbfa3df3	5	ML	SUSPENSION
cbd53d46-d1f4-44ba-af56-1a463373d343	a20caec1-e7f7-4267-be59-268177f22f94	1	TABLET	TABLET
1fd897e6-609d-4292-84e4-89f84ac44de1	34d074d0-f550-4e24-aa8f-a7f40148417b	1	DOSE	SOLUTION
24b80aa1-a994-444f-95a2-ab75391a0d44	7db2138e-8009-4fc9-874e-f031748f33cc	1	CAPSULE	CAPSULE
e4a5b3fb-0128-437e-8831-a53433a5aea6	8eaed8a4-5c46-4940-b7a8-02adedf7d4b2	5	ML	SYRUP
bda2ad15-1168-41f2-8955-3869c59eac03	5bea4f0d-c4b4-45a0-8fcd-d4d9f126c8be	1	TABLET	TABLET, COATED
17193d81-8783-4881-baec-33fc7e2dc1f8	3401ec21-3025-484f-bb22-dfb18696ffc2	100	ML	SOLUTION/DROPS
fce074b0-52cb-44a3-af63-f58712c96387	1ab3b9de-e655-45e9-9c90-7e1ad979d761	1	M	CREAM
ac59926b-fe83-4c8c-b3ca-2473a06e83f7	45678070-639a-4a58-babc-b370fdaf449d	1	TABLET	TABLET
