condition_id	icd10_code
c_2547	C23
c_5096	G80.9
c_5106	L70.0
c_8117	B03
c_3951	J40
c_11206	N81.10
c_15160	Q79.3
c_15159	Q70.9
c_11066	K57.90
c_14537	T80.30XA
c_14537	T80.30XD
c_14537	T80.30XS
c_2329	R53.83
c_8318	D12.6
c_10818	K63.5
c_4224	D61.9
c_4919	R60.1
c_10384	D34
c_9772	R07.0
c_25513	N05.5
c_5427	M35.3
c_2955	M33.20
c_2938	N52.9
c_16128	G93.41
c_10323	C80.1
c_9859	E28.9
c_10245	O44.00
c_2286	N91.2
c_9998	H02.009
c_11118	L10.4
c_19390	T79.A0XA
c_19390	T79.A0XD
c_19390	T79.A0XS
c_10079	L60.1
c_10080	L83
c_22823	L20.9
c_2260	K50.90
c_2189	H57.10
c_2200	H93.19
c_2190	H54.7
c_10427	D23.9
c_9990	H66.90
c_10297	A15.8
c_10307	D06.9
c_2253	K60.2
c_18369	D66
c_18370	D67
c_5542	D52.0
c_2234	J30.9
c_18013	G56.30
c_9304	R10.829
c_9131	B20
c_8265	R10.30
c_19329	I50.20
c_2183	G50.0
c_2922	D49.6
c_19391	M72.6
c_17213	F60.0
c_2315	M54.9
c_9439	N13.70
c_9440	K31.5
c_8775	E79.1
c_10787	N70.11
c_10614	L92.2
c_9422	S02.5XXA
c_9422	S02.5XXB
c_9422	S02.5XXD
c_9422	S02.5XXG
c_9422	S02.5XXK
c_9422	S02.5XXS
c_10326	C80.1
c_6688	M92.529
c_10442	D49.2
c_4508	H55.00
c_9415	H52.209
c_10729	N49.9
c_4725	K76.6
c_2146	E83.51
c_11458	N17.9
c_9830	R87.619
c_5113	L80
c_8354	L81.5
c_4483	N28.0
c_4139	D68.9
c_20603	I21.9
c_23377	M77.9
c_10544	D48.9
c_5426	T56.0X1A
c_5426	T56.0X1D
c_5426	T56.0X1S
c_3705	R91.8
c_30658	E28.39
c_11115	E50.8
c_15161	M26.09
c_21746	L82.1
c_10021	S72.009A
c_10021	S72.009B
c_10021	S72.009C
c_10021	S72.009D
c_10021	S72.009E
c_10021	S72.009F
c_10021	S72.009G
c_10021	S72.009H
c_10021	S72.009J
c_10021	S72.009K
c_10021	S72.009M
c_10021	S72.009N
c_10021	S72.009P
c_10021	S72.009Q
c_10021	S72.009R
c_10021	S72.009S
c_10308	C16.9
c_10526	I87.8
c_3348	N32.3
c_4848	N39.0
c_11409	K56.1
c_9615	R21
c_8176	T80.89XA
c_8176	T80.89XD
c_8176	T80.89XS
c_8176	F02.80
c_8154	E83.119
c_9878	L57.0
c_2241	K02.9
c_10038	K40.90
c_4905	Q87.40
c_6673	Q53.9
c_9127	Q96.9
c_8141	E52
c_8358	T88.3XXA
c_8358	T88.3XXD
c_8358	T88.3XXS
c_8358	T41.45XA
c_8358	T41.45XD
c_8358	T41.45XS
c_5467	Q89.3
c_13950	K63.1
c_13949	G03.9
c_5882	D72.829
c_2135	C25.9
c_8632	I51.9
c_10435	D16.9
c_10684	M1A.00X1
c_5451	D49.9
c_5451	G13.0
c_21781	L56.8
c_371	L98.9
c_8663	A07.2
c_21763	C79.2
c_10635	L98.8
c_10727	N46.11
c_3365	K86.1
c_14832	B43.8
c_5099	Z87.01
c_23451	M77.9
c_11468	N07.9
c_8809	J82.83
c_8810	N95.2
c_8757	T41.5X1A
c_8757	T41.5X1D
c_8757	T41.5X1S
c_9591	K06.8
c_10417	C56.9
c_9665	R19.6
c_9727	H00.019
c_29985	H02.9
c_10310	D13.7
c_10299	C44.99
c_11208	H16.009
c_2887	I37.0
c_8157	E83.41
c_9969	H40.1190
c_4231	K30
c_9927	T14.8XXA
c_9927	T14.8XXD
c_9927	T14.8XXS
c_4019	R36.9
c_10022	L60.2
c_3919	L25.9
c_8193	J04.0
c_8203	J85.2
c_8355	M94.0
c_9311	L53.9
c_9090	E25.9
c_9100	E73.9
c_9089	O36.8990
c_8434	C80.1
c_23051	F40.240
c_2118	J02.0
c_2928	H90.5
c_9987	H10.509
c_4694	G11.11
c_9910	M65.30
c_9909	M66.829
c_8375	K27.5
c_9899	M77.8
c_8175	D75.81
c_13409	B00.9
c_11900	B60.00
c_6546	M00.80
c_10814	E83.19
c_X1	I49.01
c_X5	I49.02
c_X6	I48.92
c_X7	Z99.89
c_X13	T67.01XA
c_X13	T67.01XD
c_X13	T67.01XS
c_X14	I48.91
c_X29	M21.379
c_X42	R10.83
c_X31	I21.9
c_X32	T74.91XA
c_X32	T74.91XD
c_X32	T74.91XS
c_X43	M19.90
c_X44	Q44.5
c_X45	N32.9
c_X46	M89.9
c_X47	N64.9
c_X48	B37.9
c_X49	R94.30
c_X50	G96.9
c_X51	R22.0
c_X52	A04.72
c_X53	H18.829
c_X54	B25.9
c_X33	K13.70
c_X33	K08.9
c_X33	K11.9
c_X55	H93.90
c_X35	E88.89
c_X56	R76.8
c_X36	K22.9
c_X57	H44.9
c_X58	E87.8
c_X59	R26.9
c_X37	K82.9
c_X60	K29.70
c_X61	K92.9
c_X62	K31.6
c_X63	A07.1
c_X38	N05.9
c_X65	A04.8
c_X65	B96.81
c_X66	D66
c_X67	K46.9
c_X68	B20
c_X69	B76.9
c_X70	T78.40XA
c_X70	T78.40XD
c_X70	T78.40XS
c_X71	M12.9
c_X72	C95.90
c_X73	F48.9
c_X74	E88.9
c_X74	M90.80
c_X75	Z22.322
c_X76	B95.62
c_X77	L60.9
c_X78	J34.9
c_X79	N83.519
c_X80	K86.9
c_X39	L21.0
c_X40	L28.2
c_X81	J98.4
c_X82	I49.3
c_X83	A02.9
c_X84	A03.9
c_X85	L98.9
c_X86	M93.003
c_X41	M53.9
c_X87	R19.5
c_X88	E79.9
c_X89	R82.90
c_X90	Z22.39
c_X91	B95.2
c_X91	Z16.21
c_X92	I77.6
c_X93	T14.8XXA
c_X93	T14.8XXD
c_X93	T14.8XXS
c_X194	G71.01
c_X195	G71.01
c_X196	R41.81
c_X199	E70.0
c_X200	E25.0
c_X201	D81.9
c_X202	Q23.4
c_X203	Q20.3
c_X204	Q26.2
c_X209	E72.11
c_X210	E71.0
c_X211	Q20.0
c_X212	D64.9
c_X213	E70.30
c_X214	F43.10
c_X215	F51.4
c_X223	Q90.9
c_X224	F84.5
c_X225	M35.9
c_X225	B95.5
