condition_id	icd10_code
c_21761	L85.1
c_9577	K62.89
c_364	J44.9
c_17533	F45.21
c_4383	Q61.5
c_21728	L56.8
c_21728	X32.XXXS
c_8798	S26.90XA
c_8798	S26.90XD
c_8798	S26.90XS
c_8808	Q32.0
c_8591	R40.0
c_25091	D69.2
c_4611	T14.90XA
c_4611	T14.90XD
c_4611	T14.90XS
c_9809	N48.5
c_9799	F10.239
c_10666	L94.5
c_4366	R42
c_4507	Q24.0
c_10703	H02.60
c_10693	M35.6
c_21777	L03.90
c_9418	J31.0
c_5585	L01.00
c_2003	I89.8
c_9968	H40.2290
c_2873	D55.0
c_10378	D22.9
c_15458	C34.90
c_10482	C44.99
c_9393	L90.5
c_9681	K06.8
c_7150	P95
c_10552	M31.6
c_10247	E03.9
c_8581	N44.00
c_4316	R10.13
c_9360	N64.4
c_3691	D47.2
c_5466	K37
c_9098	Q86.0
c_9826	J63.2
c_3347	T14.8XXA
c_3347	T14.8XXD
c_3347	T14.8XXS
c_8209	K13.0
c_8210	K12.1
c_8199	J11.1
c_4784	K29.80
c_9262	H92.20
c_10194	N34.3
c_4947	T33.90XA
c_4947	T33.90XD
c_4947	T33.90XS
c_2482	K12.0
c_2149	E20.9
c_2959	M62.40
c_10312	C25.4
c_10519	K63.89
c_5508	C22.9
c_8139	E29.1
c_6658	N47.1
c_8140	E51.9
c_6680	A38.9
c_2281	N39.0
c_10769	C54.1
c_9186	M26.629
c_2318	R60.9
c_11216	G45.3
c_26607	S83.90XA
c_26607	S83.90XD
c_26607	S83.90XS
c_2471	M33.90
c_11896	J44.1
c_11906	B55.2
c_6706	E80.6
c_6696	S02.91XA
c_6696	S02.91XB
c_6696	S02.91XD
c_6696	S02.91XG
c_6696	S02.91XK
c_6696	S02.91XS
c_8216	K75.0
c_7344	H61.20
c_8319	D35.2
c_9941	H10.9
c_10742	M89.9
c_2204	R42
c_2465	B85.3
c_2307	D22.9
c_2297	L21.9
c_8416	T30.4
c_6685	B08.5
c_2961	G58.8
c_2046	K22.5
c_21214	R11.15
c_9942	H43.10
c_4360	M25.40
c_30574	J45.50
c_4359	J98.09
c_9689	M25.519
c_9700	H35.52
c_9132	M21.069
c_10438	C41.9
c_1988	I27.20
c_15639	G93.1
c_372	N34.2
c_10241	L44.1
c_2223	I82.409
c_19931	S93.106A
c_19931	S93.106D
c_19931	S93.106S
c_8217	K76.7
c_11459	N19
c_11148	J00
c_10380	D23.9
c_10379	D22.9
c_21737	K13.0
c_8800	A74.9
c_8790	Q78.0
c_10511	K76.1
c_6684	P83.81
c_8789	D68.8
c_11269	N30.80
c_21768	C85.90
c_8356	Q21.3
c_4668	K86.9
c_29955	S69.90XA
c_29955	S69.90XD
c_29955	S69.90XS
c_4245	R10.9
c_10290	C80.1
c_10289	C34.90
c_2272	K81.9
c_9724	L97.909
c_27922	S53.003A
c_27922	S53.003D
c_27922	S53.003S
c_2296	L02.91
c_13648	F50.81
c_2888	I37.1
c_8387	I71.40
c_8345	A04.72
c_17482	F32.89
c_9374	L90.9
c_4131	T14.8XXA
c_4131	T14.8XXD
c_4131	T14.8XXS
c_4131	Y24.9XXA
c_4131	Y24.9XXD
c_4131	Y24.9XXS
c_9960	R27.8
c_9959	J86.0
c_8338	I82.3
c_10778	D21.9
c_3504	N28.89
c_9994	H10.10
c_21786	L29.9
c_5631	I46.9
c_16904	F19.10
c_8328	E53.1
c_8328	D53.8
c_7934	O00.90
c_3248	R19.09
c_5111	E76.3
c_5838	Q27.30
c_8127	C46.9
c_9991	H66.90
c_8270	R74.8
c_10005	E11.3599
c_2812	D53.9
c_21955	V89.2XXA
c_21955	V89.2XXD
c_21955	V89.2XXS
c_11608	A20.9
c_4297	K62.3
c_23378	M23.90
c_15456	K43.2
c_21796	L13.1
c_21806	T81.40XA
c_21806	T81.40XD
c_21806	T81.40XS
c_10646	L81.4
c_9412	N30.90
c_3442	M51.9
c_8806	J38.00
c_329	L02.93
c_4505	E11.21
c_11557	A57
c_14830	N39.0
c_14830	A41.9
c_14681	B00.4
c_4273	C94.00
c_3363	K38.1
c_11529	M83.4
c_10466	C90.30
c_10664	L41.1
c_2507	R19.00
c_8242	Q67.6
c_4582	N13.5
c_8816	A17.0
c_10615	A58
c_8588	L97.909
c_9966	H26.8
c_2908	I62.00
c_2898	F41.9
c_8155	E83.01
c_10082	Q82.8
c_25515	E11.21
c_14677	J09.X2
c_10206	E04.2
c_2473	M31.30
c_10196	N30.10
c_8747	N15.1
c_10414	C62.90
c_4696	C44.92
c_15162	Q79.2
c_2178	G45.9
c_6669	L05.91
c_11068	D34
c_8283	R64
c_9925	M40.50
c_9758	R45.83
c_6687	N76.0
c_9021	J43.9
c_19394	K80.50
c_10847	D72.823
c_10040	G54.9
c_10692	B07.9
c_8311	A54.42
c_2926	H16.9
c_9613	R21
c_8137	E26.81
c_9662	R04.1
c_10033	D23.9
c_9097	O36.5990
c_8304	T75.3XXA
c_8304	T75.3XXD
c_8304	T75.3XXS
c_9880	H27.10
c_9879	H04.309
c_2957	M11.80
c_5814	D65
c_5024	I05.9
c_5423	E80.20
c_21876	C55
c_9426	S52.209A
c_9426	S52.209B
c_9426	S52.209C
c_9426	S52.209D
c_9426	S52.209E
c_9426	S52.209F
c_9426	S52.209G
c_9426	S52.209H
c_9426	S52.209J
c_9426	S52.209K
c_9426	S52.209M
c_9426	S52.209N
c_9426	S52.209P
c_9426	S52.209Q
c_9426	S52.209R
c_9426	S52.209S
c_11903	B69.9
c_5076	H57.02
c_8512	R58
c_5457	R19.5
c_10432	D18.1
c_10639	M31.0
c_11227	N28.89
c_8744	A55
c_23534	G56.00
c_11505	N05.0
c_10317	C80.1
c_21772	L98.5
c_10650	T87.30
c_10649	D36.10
c_8314	C57.00
