iso_639_2	iso_639_3	iso_639_5	iso_639_1	language_names	scope	type	native_names	other_names
fro	fro			French, Old (842–ca.1400)	Individual	Historical	*Franceis*; *François*; *Romanz*	
frr	frr			Northern Frisian	Individual	Living	*Frasch*; *Fresk*; *Freesk*; *Friisk*	North Frisian
frs	frs			Eastern Frisian	Individual	Living	*Oostfräsk*; *Oostfreesk*; *Plattdüütsk*	East Frisian Low Saxon
fry	fry		fy	Western Frisian	Individual	Living	*Frysk*	West Frisian
ful	ful		ff	Fulah	Macrolanguage	Living	*Fulfulde*; *Pulaar*; *Pular*	Fula
fur	fur			Friulian	Individual	Living	*Furlan*	
gaa	gaa			Ga	Individual	Living	*Gã*	
gay	gay			Gayo	Individual	Living	*Basa Gayo*	
gba	gba			Gbaya	Macrolanguage	Living	*Gbaya*	
gem		gem		Germanic languages	Collective	Genetic		
gez	gez			Geez	Individual	Historical	ግዕዝ	Ge'ez
gil	gil			Gilbertese	Individual	Living	*Taetae ni Kiribati*	
gla	gla		gd	Gaelic; Scottish Gaelic	Individual	Living	*Gàidhlig*	
gle	gle		ga	Irish	Individual	Living	*Gaeilge*	
glg	glg		gl	Galician	Individual	Living	*Galego*	
glv	glv		gv	Manx	Individual	Living	*Gaelg*; *Gailck*	
gmh	gmh			German, Middle High (ca.1050–1500)	Individual	Historical	*Diutsch*	
goh	goh			German, Old High (ca.750–1050)	Individual	Historical	*Diutisk*	
gon	gon			Gondi	Macrolanguage	Living	गोण्डि; Koitur	
gor	gor			Gorontalo	Individual	Living	*Bahasa Hulontalo*	
got	got			Gothic	Individual	Historical	*Gutiska*	
grb	grb			Grebo	Macrolanguage	Living	*Kréébo*	
grc	grc			Greek, Ancient (to 1453)	Individual	Historical	Ἑλληνική	
grn	grn		gn	Guarani	Macrolanguage	Living	*Avañe'ẽ*	
gsw	gsw			Swiss German; Alemannic; Alsatian	Individual	Living	*Schwiizerdütsch*	
guj	guj		gu	Gujarati	Individual	Living	ગુજરાતી, *Gujarātī*	
gwi	gwi			Gwich'in	Individual	Living	*Dinjii Zhu’ Ginjik*	
hai	hai			Haida	Macrolanguage	Living	*X̱aat Kíl*; *X̱aadas Kíl*; *X̱aayda Kil*; *Xaad kil*	
hat	hat		ht	Haitian; Haitian Creole	Individual	Living	*Kreyòl Ayisyen*	
hau	hau		ha	Hausa	Individual	Living	*Harshen Hausa*; هَرْشَن	
haw	haw			Hawaiian	Individual	Living	*ʻŌlelo Hawaiʻi*	
heb	heb		he	Hebrew	Individual	Living	עברית, *'Ivriyþ*	
her	her		hz	Herero	Individual	Living	*Otjiherero*	
